Kelvin,p,density,v_liquid,v_gas,compressibility factor,h_liquid,h_gas,r,s_liquid,s_gas
381.15,1.339,0.7758,0.0010502,1.289,1,452.85,2688.3,2235.4,1.3964,7.2615
382.15,1.3852,0.8008,0.001051,1.249,1,457.08,2689.8,2232.7,1.4074,7.2501
383.15,1.4327,0.8265,0.0010519,1.21,1,461.32,2691.3,2230,1.4185,7.2388
384.15,1.4815,0.8528,0.0010527,1.173,1,465.55,2692.8,2227.3,1.4295,7.2275
385.15,1.5316,0.8798,0.0010536,1.137,1,469.78,2694.3,2224.5,1.4405,7.2164
386.15,1.5832,0.9075,0.0010544,1.102,1,474.02,2695.8,2221.8,1.4515,7.2052
387.15,1.6362,0.9359,0.0010553,1.069,1,478.26,2697.2,2219,1.4624,7.1942
388.15,1.6906,0.965,0.0010562,1.036,1,482.5,2698.7,2216.2,1.4733,7.1832
389.15,1.7465,0.9948,0.0010571,1.005,1,486.74,2700.2,2213.4,1.4842,7.1723
390.15,1.8039,1.025,0.0010579,0.9753,1,490.98,2701.6,2210.7,1.4951,7.1614
391.15,1.8628,1.057,0.0010588,0.9463,1,495.23,2703.1,2207.9,1.506,7.1507
392.15,1.9233,1.089,0.0010597,0.9184,1,499.47,2704.5,2205.1,1.5168,7.1399
393.15,1.9854,1.122,0.0010606,0.8915,1,503.72,2706,2202.2,1.5276,7.1293
394.15,2.0492,1.155,0.0010615,0.8655,1,507.97,2707.4,2199.4,1.5384,7.1187
395.15,2.1145,1.19,0.0010625,0.8405,1,512.22,2708.8,2196.6,1.5491,7.1082
396.15,2.1816,1.225,0.0010634,0.8162,1,516.47,2710.2,2193.7,1.5599,7.0977
397.15,2.2504,1.261,0.0010643,0.7928,1,520.73,2711.6,2190.9,1.5706,7.0873
398.15,2.321,1.298,0.0010652,0.7702,1,524.99,2713,2188,1.5813,7.0769
399.15,2.3933,1.336,0.0010662,0.7484,1,529.25,2714.4,2185.2,1.5919,7.0666
400.15,2.4675,1.375,0.0010671,0.7273,1,533.51,2715.8,2182.3,1.6026,7.0564
401.15,2.5435,1.415,0.0010681,0.7069,1,537.77,2717.2,2179.4,1.6132,7.0462
402.15,2.6215,1.455,0.0010691,0.6872,1,542.04,2718.5,2176.5,1.6238,7.0361
403.15,2.7013,1.497,0.00107,0.6681,1,546.31,2719.9,2173.6,1.6344,7.0261
404.15,2.7831,1.539,0.001071,0.6497,1,550.58,2721.3,2170.7,1.6449,7.0161
405.15,2.867,1.583,0.001072,0.6319,1,554.85,2722.6,2167.8,1.6555,7.0061
406.15,2.9528,1.627,0.001073,0.6146,1,559.12,2723.9,2164.8,1.666,6.9962
407.15,3.041,1.672,0.001074,0.598,1,563.4,2725.3,2161.9,1.6765,6.9864
408.15,3.131,1.719,0.001075,0.5818,1,567.68,2726.6,2158.9,1.6869,6.9766
409.15,3.223,1.766,0.001076,0.5662,1,571.96,2727.9,2155.9,1.6974,6.9669
410.15,3.317,1.815,0.001077,0.5511,1,576.24,2729.2,2153,1.7078,6.9572
411.15,3.414,1.864,0.001078,0.5364,1,580.53,2730.5,2150,1.7182,6.9475
412.15,3.513,1.915,0.001079,0.5222,1,584.81,2731.8,2147,1.7286,6.938
413.15,3.614,1.967,0.0010801,0.5085,1,589.1,2733.1,2144,1.739,6.9284
414.15,3.717,2.019,0.0010811,0.4952,1,593.4,2734.3,2140.9,1.7493,6.919
415.15,3.823,2.073,0.0010821,0.4823,1,597.69,2735.6,2137.9,1.7597,6.9095
416.15,3.931,2.129,0.0010832,0.4698,1,601.99,2736.9,2134.9,1.77,6.9001
417.15,4.042,2.185,0.0010843,0.4577,1,606.29,2738.1,2131.8,1.7803,6.8908
418.15,4.155,2.242,0.0010853,0.446,1,610.6,2739.3,2128.7,1.7906,6.8815
419.15,4.271,2.301,0.0010864,0.4346,1,614.9,2740.6,2125.7,1.8008,6.8723
420.15,4.389,2.361,0.0010875,0.4236,1,619.21,2741.8,2122.6,1.811,6.8631
421.15,4.51,2.422,0.0010886,0.4129,1,623.52,2743,2119.5,1.8213,6.8539
422.15,4.634,2.484,0.0010897,0.4025,1,627.83,2744.2,2116.3,1.8315,6.8448
423.15,4.76,2.548,0.0010908,0.3924,1,632.15,2745.4,2113.2,1.8416,6.8358
424.15,4.889,2.613,0.0010919,0.3827,1,636.47,2746.5,2110.1,1.8518,6.8268
425.15,5.021,2.679,0.001093,0.3732,1,640.79,2747.7,2106.9,1.862,6.8178
426.15,5.155,2.747,0.0010941,0.364,1,645.12,2748.9,2103.8,1.8721,6.8089
427.15,5.293,2.816,0.0010953,0.3551,1,649.45,2750,2100.6,1.8822,6.8
428.15,5.433,2.886,0.0010964,0.3464,1,653.78,2751.2,2097.4,1.8923,6.7911
429.15,5.577,2.958,0.0010976,0.338,1,658.11,2752.3,2094.2,1.9023,6.7823
430.15,5.723,3.032,0.0010987,0.3299,1,662.45,2753.4,2091,1.9124,6.7735
431.15,5.872,3.106,0.0010999,0.3219,1,666.79,2754.5,2087.7,1.9224,6.7648
432.15,6.025,3.182,0.0011011,0.3142,1,671.13,2755.6,2084.5,1.9325,6.7561
433.15,6.181,3.26,0.0011022,0.3068,1,675.47,2756.7,2081.3,1.9425,6.7475
434.15,6.339,3.339,0.0011034,0.2995,1,679.82,2757.8,2078,1.9525,6.7389
435.15,6.502,3.42,0.0011046,0.2924,1,684.18,2758.9,2074.7,1.9624,6.7303
436.15,6.667,3.502,0.0011058,0.2856,1,688.53,2759.9,2071.4,1.9724,6.7218
437.15,6.836,3.586,0.001107,0.2789,1,692.89,2761,2068.1,1.9823,6.7133
438.15,7.008,3.671,0.0011082,0.2724,1,697.25,2762,2064.8,1.9923,6.7048
439.15,7.183,3.758,0.0011095,0.2661,1,701.62,2763.1,2061.4,2.0022,6.6964
440.15,7.362,3.847,0.0011107,0.26,1,705.99,2764.1,2058.1,2.0121,6.688
441.15,7.545,3.937,0.0011119,0.254,1,710.36,2765.1,2054.7,2.0219,6.6796
442.15,7.731,4.029,0.0011132,0.2482,1,714.74,2766.1,2051.3,2.0318,6.6713
443.15,7.92,4.123,0.0011145,0.2426,1,719.12,2767.1,2047.9,2.0416,6.663
444.15,8.114,4.218,0.0011157,0.2371,1,723.5,2768,2044.5,2.0515,6.6548
445.15,8.311,4.316,0.001117,0.2317,1,727.89,2769,2041.1,2.0613,6.6465
446.15,8.511,4.415,0.0011183,0.2265,1,732.28,2769.9,2037.7,2.0711,6.6384
447.15,8.716,4.515,0.0011196,0.2215,1,736.67,2770.9,2034.2,2.0809,6.6302
448.15,8.924,4.618,0.0011209,0.2165,1,741.07,2771.8,2030.7,2.0906,6.6221
449.15,9.137,4.723,0.0011222,0.2117,1,745.47,2772.7,2027.3,2.1004,6.614
450.15,9.353,4.829,0.0011235,0.2071,1,749.88,2773.6,2023.8,2.1102,6.6059
451.15,9.574,4.937,0.0011248,0.2025,1,754.28,2774.5,2020.2,2.1199,6.5979
452.15,9.798,5.048,0.0011262,0.1981,1,758.7,2775.4,2016.7,2.1296,6.5899
453.15,10.027,5.16,0.0011275,0.1938,1,763.12,2776.3,2013.1,2.1393,6.5819
454.15,10.259,5.274,0.0011289,0.1896,1,767.54,2777.1,2009.6,2.149,6.5739
455.15,10.496,5.391,0.0011302,0.1855,1,771.96,2778,2006,2.1587,6.566
456.15,10.738,5.509,0.0011316,0.1815,1,776.39,2778.8,2002.4,2.1683,6.5581
457.15,10.983,5.629,0.001133,0.1776,1,780.82,2779.6,1998.8,2.178,6.5503
458.15,11.233,5.752,0.0011344,0.1739,1,785.26,2780.4,1995.2,2.1876,6.5424
459.15,11.488,5.877,0.0011358,0.1702,1,789.7,2781.2,1991.5,2.1972,6.5346
460.15,11.747,6.003,0.0011372,0.1666,1,794.15,2782,1987.8,2.2068,6.5268
461.15,12.01,6.132,0.0011386,0.1631,1,798.6,2782.8,1984.2,2.2164,6.5191
462.15,12.278,6.264,0.0011401,0.1596,1,803.06,2783.5,1980.5,2.226,6.5113
463.15,12.551,6.397,0.0011415,0.1563,1,807.52,2784.3,1976.7,2.2356,6.5036
464.15,12.829,6.533,0.001143,0.1531,1,811.98,2785,1973,2.2451,6.4959
465.15,13.111,6.671,0.0011444,0.1499,1,816.45,2785.7,1969.3,2.2547,6.4883
466.15,13.398,6.812,0.0011459,0.1468,1,820.92,2786.4,1965.5,2.2642,6.4806
467.15,13.69,6.955,0.0011474,0.1438,1,825.4,2787.1,1961.7,2.2738,6.473
468.15,13.987,7.1,0.0011489,0.1408,1,829.88,2787.8,1957.9,2.2833,6.4654
469.15,14.289,7.248,0.0011504,0.138,1,834.37,2788.4,1954.1,2.2928,6.4578
470.15,14.596,7.398,0.0011519,0.1352,1,838.86,2789.1,1950.2,2.3023,6.4503
471.15,14.909,7.551,0.0011534,0.1324,1,843.36,2789.7,1946.4,2.3117,6.4428
472.15,15.226,7.796,0.0011549,0.1298,1,847.86,2790.3,1942.5,2.3212,6.4353
473.15,15.549,7.864,0.0011565,0.1272,1,852.37,2790.9,1938.6,2.3307,6.4278
474.15,15.877,8.025,0.0011581,0.1246,1,856.88,2791.5,1934.6,2.3401,6.4203
475.15,16.21,8.188,0.0011596,0.1221,1,861.4,2792.1,1930.7,2.3496,6.4128
476.15,16.549,8.354,0.0011612,0.1197,1,865.92,2792.7,1926.7,2.359,6.4054
477.15,16.893,8.522,0.0011628,0.1173,1,870.45,2793.2,1922.8,2.3684,6.398
478.15,17.243,8.694,0.0011644,0.115,1,874.99,2793.8,1918.8,2.3778,6.3906
479.15,17.598,8.868,0.001166,0.1128,1,879.53,2794.3,1914.7,2.3872,6.3832
480.15,17.959,9.045,0.0011676,0.1106,1,884.07,2794.8,1910.7,2.3966,6.3759
481.15,18.326,9.225,0.0011693,0.1084,1,888.62,2795.3,1906.6,2.406,6.3686
482.15,18.699,9.408,0.0011709,0.1063,1,893.17,2795.7,1902.6,2.4153,6.3612
483.15,19.077,9.593,0.0011726,0.1042,1,897.74,2796.2,1898.5,2.4247,6.3539
484.15,19.462,9.782,0.0011743,0.1022,1,902.31,2796.6,1894.3,2.434,6.3466
485.15,19.852,9.974,0.001176,0.1003,1,906.87,2797.1,1890.2,2.4434,6.3394
486.15,20.249,10.17,0.0011777,0.09834,1,911.45,2797.5,1886,2.4527,6.3321
487.15,20.651,10.37,0.0011794,0.09646,1,916.03,2797.9,1881.8,2.462,6.3249
488.15,21.06,10.57,0.0011811,0.09463,1,920.63,2798.3,1877.6,2.4713,6.3176
489.15,21.475,10.77,0.0011829,0.09283,1,925.23,2798.6,1873.4,2.4806,6.3104
490.15,21.896,10.98,0.0011846,0.09107,1,929.83,2799,1869.1,2.49,6.3032
491.15,22.324,11.19,0.0011864,0.08936,1,934.44,2799.3,1864.9,2.4992,6.2961
492.15,22.758,11.41,0.0011882,0.08768,1,939.06,2799.6,1860.6,2.5085,6.2889
493.15,23.198,11.62,0.00119,0.08604,1,943.67,2799.9,1856.2,2.5178,6.2817
494.15,23.645,11.84,0.0011918,0.08443,1,948.3,2800.2,1851.9,2.5271,6.2746
495.15,24.099,12.07,0.0011936,0.08286,1,952.93,2800.5,1847.5,2.5363,6.2674
496.15,24.56,12.3,0.0011954,0.08132,1,957.58,2800.7,1843.1,2.5456,6.2603
497.15,25.027,12.53,0.0011973,0.07982,1,962.22,2800.9,1838.7,2.5548,6.2532
498.15,25.501,12.76,0.0011992,0.07835,1,966.89,2801.2,1834.3,2.5641,6.2461
499.15,25.982,13,0.001201,0.07691,1,971.55,2801.4,1829.8,2.5733,6.239
500.15,26.47,13.24,0.0012029,0.0755,1,976.21,2801.5,1825.3,2.5825,6.2319
501.15,26.965,13.49,0.0012048,0.07412,1,980.88,2801.7,1820.8,2.5918,6.2249
502.15,27.467,13.74,0.0012068,0.07277,1,985.57,2801.8,1816.3,2.601,6.2178
503.15,27.976,14,0.0012087,0.07145,1,990.26,2802,1811.7,2.6102,6.2107
504.15,28.493,14.25,0.0012107,0.07016,1,994.96,2802.1,1807.1,2.6194,6.2037
505.15,29.016,14.52,0.0012127,0.06889,1,999.68,2802.2,1802.5,2.6286,6.1967
506.15,29.547,14.78,0.0012147,0.06765,1,1004.4,2802.2,1797.9,2.6378,6.1896
507.15,30.086,15.05,0.0012167,0.06643,1,1009.1,2802.3,1793.2,2.6469,6.1826
508.15,30.632,15.33,0.0012187,0.06525,1,1013.8,2802.3,1788.5,2.6562,6.1756
509.15,31.186,15.61,0.0012207,0.06408,1,1018.6,2802.3,1783.8,2.6653,6.1686
510.15,31.747,15.89,0.0012228,0.06294,1,1023.3,2802.3,1779,2.6745,6.1616
511.15,32.317,16.18,0.0012249,0.06182,1,1028.1,2802.3,1774.2,2.6837,6.1546
512.15,32.893,16.47,0.001227,0.06073,1,1032.8,2802.3,1769.4,2.6928,6.1476
513.15,33.478,16.76,0.0012291,0.05965,1,1037.6,2802.2,1764.6,2.702,6.1406
514.15,34.071,17.06,0.0012312,0.0586,1,1042.4,2802.1,1759.8,2.7112,6.1336
515.15,34.672,17.37,0.0012334,0.05757,1,1047.2,2802,1754.9,2.7203,6.1266
516.15,35.281,17.68,0.0012355,0.05656,1,1052,2801.9,1749.9,2.7295,6.1196
517.15,35.898,17.99,0.0012377,0.05558,1,1056.8,2801.8,1745,2.7386,6.1127
518.15,36.523,18.31,0.0012399,0.05461,1,1061.6,2801.6,1749,2.7478,6.1057
519.15,37.157,18.64,0.0012422,0.05366,1,1066.4,2801.4,1735,2.7569,6.0987
520.15,37.799,18.97,0.0012444,0.05272,1,1071.2,2801.2,1730,2.7661,6.0917
521.15,38.449,19.3,0.0012467,0.05181,1,1076.1,2801,1724.9,2.7752,6.0848
522.15,39.108,19.64,0.001249,0.05092,1,1080.9,2800.7,1719.8,2.7843,6.0778
523.15,39.776,19.99,0.0012513,0.05004,1,1085.8,2800.4,1714.6,2.7935,6.0708
524.15,40.452,20.33,0.0012536,0.04918,1,1090.7,2800.1,1709.5,2.8026,6.0639
525.15,41.137,20.69,0.001256,0.04833,1,1095.5,2799.8,1704.3,2.8118,6.0569
526.15,41.831,21.05,0.0012584,0.0475,1,1100.4,2799.5,1699.1,2.8209,6.0499
527.15,42.534,21.42,0.0012608,0.04669,1,1105.3,2799.1,1693.8,2.83,6.0429
528.15,43.246,21.79,0.0012632,0.0459,1,1110.2,2798.7,1688.5,2.8392,6.0359
529.15,43.967,22.17,0.0012656,0.04511,1,1115.1,2798.3,1683.2,2.8483,6.029
530.15,44.697,22.55,0.0012681,0.04435,1,1120.1,2797.9,1677.8,2.8574,6.022
531.15,45.437,22.94,0.0012706,0.0436,1,1125,2797.4,1672.4,2.8666,6.015
532.15,46.185,23.33,0.0012731,0.04286,1,1130,2796.9,1667,2.8757,6.008
533.15,46.943,23.73,0.0012756,0.04213,1,1134.9,2796.4,1661.5,2.8848,6.001
534.15,47.711,24.14,0.0012782,0.04142,1,1139.9,2795.9,1656,2.894,5.994
535.15,48.488,24.55,0.0012808,0.04073,1,1144.9,2795.3,1650.4,2.9031,5.9869
536.15,49.275,24.97,0.0012834,0.04004,1,1149.9,2794.7,1644.8,2.9123,5.9799
537.15,50.071,25.4,0.0012861,0.03937,1,1154.9,2794.1,1639.2,2.9214,5.9729
538.15,50.877,25.83,0.0012887,0.03871,1,1159.9,2793.5,1633.6,2.9306,5.9658
539.15,51.693,26.27,0.0012914,0.03806,1,1165,2792.8,1627.8,2.9397,5.9588
540.15,52.519,26.72,0.0012942,0.03743,1,1170,2792.1,1622.1,2.9489,5.9517
541.15,53.355,27.17,0.0012969,0.0368,1,1175.1,2791.4,1616.3,2.958,5.9446
542.15,54.202,27.63,0.0012997,0.03619,1,1180.1,2790.6,1610.5,2.9672,5.9375
543.15,55.058,28.1,0.0013025,0.03559,1,1185.2,2789.9,1604.6,2.9763,5.9304
544.15,55.925,28.57,0.0013053,0.035,1,1190.3,2789.1,1598.7,2.9855,5.9233
545.15,56.802,29.06,0.0013082,0.03442,1,1195.4,2788.2,1592.8,2.9947,5.9162
546.15,57.689,29.55,0.0013111,0.03385,1,1200.6,2787.4,1586.8,3.0039,5.9091
547.15,58.587,30.04,0.0013141,0.03329,1,1205.7,2786.5,1580.7,3.0131,5.9019
548.15,59.496,30.55,0.001317,0.03274,1,1210.9,2785.5,1574.7,3.0223,5.8947
549.15,60.415,31.06,0.00132,0.0322,1,1216,2784.6,1568.6,3.0315,5.8876
550.15,61.346,31.58,0.0013231,0.03166,1,1221.2,2783.6,1562.4,3.0406,5.8804
551.15,62.287,32.11,0.0013261,0.03114,1,1226.4,2782.6,1556.2,3.0499,5.8731
552.15,63.239,32.65,0.0013292,0.03063,1,1231.6,2781.5,1549.9,3.0591,5.8659
553.15,64.202,33.19,0.0013324,0.03013,1,1236.8,2780.4,1543.6,3.0683,5.8586
554.15,65.176,33.75,0.0013356,0.02963,1,1242.1,2779.3,1537.2,3.0775,5.8513
555.15,66.162,34.31,0.0013388,0.02914,1,1247.3,2778.1,1530.8,3.0868,5.844
